-27364.81	21946.53	 2700.00	35182.00	 2354.51	   73.36	0	1	76728680

-26813.65	18588.48	 2952.00	32760.00	 2421.14	   86.17	0	2	76728650

-27497.49	22219.39	 2919.00	35473.00	 2351.00	   78.67	3	1	76728680

-27442.31	18649.77	 2886.00	33305.00	 2430.00	   82.85	3	2	76728660

-27591.02	18461.40	 3079.00	33340.18	 2436.89	   88.31	2	1	76729740

-27474.88	21591.61	 2900.00	35063.89	 2363.96	   79.07	2	2	76729760

-27235.02	21776.45	 2595.00	34967.04	 2355.92	   70.93	0	1	76729950

-26980.86	18377.51	 3026.00	32785.00	 2429.00	   88.26	3	2	76729920

-27200.94	21652.10	 2910.00	34888.00	 2358.00	   79.74	3	1	76729940

-27029.09	18317.15	 2994.00	32788.01	 2431.25	   87.32	0	2	76729930

-27312.80	18331.53	 3324.00	33061.80	 2435.53	   96.17	2	1	76730990

-27250.32	21605.97	 2692.00	34880.43	 2359.84	   73.77	2	2	76731010

-26810.90	17960.84	 2857.00	32397.20	 2436.36	   84.32	0	2	76731170

-26805.15	18216.76	 3271.00	32574.00	 2430.00	   96.05	3	2	76731180

-26916.26	21581.15	 3032.00	34632.70	 2354.63	   83.71	0	1	76731200

-26947.45	21358.29	 2725.00	34493.00	 2360.00	   75.52	3	1	76731210

-27058.41	17887.81	 3156.00	32589.74	 2442.20	   92.62	2	1	76732210

-26880.04	21427.75	 2766.00	34486.74	 2357.32	   76.67	2	2	76732240

-26192.43	17971.86	 2913.00	31898.54	 2425.74	   87.33	0	2	76732430

-26761.84	17820.95	 2966.00	32289.00	 2439.00	   87.84	3	2	76732440

-26351.04	21342.11	 3014.00	34043.32	 2349.92	   84.65	0	1	76732450

-26521.93	21431.09	 2748.00	34209.00	 2351.00	   76.79	3	1	76732480

-26699.42	18192.82	 3110.00	32457.81	 2428.83	   91.64	2	1	76733470

-26648.32	20942.10	 2961.00	34021.64	 2363.95	   83.22	2	2	76733490

-26122.35	17755.15	 2962.00	31723.74	 2429.94	   89.29	0	2	76733680

-26555.77	17804.40	 3070.00	32119.00	 2436.00	   91.41	3	2	76733720

-25932.73	21193.23	 2943.00	33620.25	 2345.72	   83.70	0	1	76733710

-26610.34	20820.20	 2821.00	33905.00	 2366.00	   79.55	3	1	76733740

-26198.86	17157.84	 3110.00	31471.31	 2446.31	   94.52	2	1	76734710

-26411.11	21228.37	 2859.00	34005.36	 2353.48	   80.38	2	2	76734740

-25890.63	17517.05	 2930.00	31396.76	 2431.98	   89.25	0	2	76734930

-25682.50	20942.00	 2894.00	33264.60	 2346.76	   83.18	0	1	76734930

-26118.52	17790.14	 2960.00	31740.00	 2429.00	   89.18	3	2	76734980

-26436.52	20684.21	 2832.00	33686.00	 2366.00	   80.38	3	1	76735000

-26153.66	17440.05	 3193.00	31596.91	 2438.39	   96.66	2	1	76735960

-26154.67	20786.58	 2905.00	33534.88	 2358.73	   82.83	2	2	76735990

-25886.79	17360.89	 2913.00	31305.14	 2435.87	   88.99	0	2	76736180

-25853.21	20720.09	 2935.00	33261.46	 2354.83	   84.37	0	1	76736200

-25842.41	17641.72	 3006.00	31434.00	 2428.00	   91.46	3	2	76736240

-26127.28	20530.62	 2969.00	33361.00	 2364.00	   85.10	3	1	76736260

-25951.46	17073.47	 3127.00	31221.14	 2444.32	   95.80	2	1	76737210

-25950.25	20509.96	 2958.00	33208.79	 2361.31	   85.17	2	2	76737240

-25680.92	17096.26	 2973.00	30994.04	 2439.13	   91.74	0	2	76737430

-25545.85	20453.90	 2873.00	32851.28	 2355.28	   83.62	0	1	76737450

-25578.74	17266.08	 3028.00	31009.00	 2433.00	   93.40	3	2	76737500

-25825.90	20469.36	 2895.00	33081.00	 2360.00	   83.68	3	1	76737520

-25503.21	20692.69	 2965.00	32975.63	 2349.08	   85.98	1	1	76737670

-25596.55	16609.18	 3076.00	30667.74	 2450.35	   95.94	2	1	76738460

-25349.48	16964.36	 2990.00	30648.42	 2436.81	   93.31	0	2	76738680

-25457.36	20260.31	 2843.00	32659.45	 2358.09	   83.23	0	1	76738680

-25236.54	17112.13	 3027.00	30641.00	 2431.00	   94.49	3	2	76738760

-25497.53	20339.85	 2853.00	32741.00	 2357.00	   83.32	3	1	76738790

-25458.93	16741.90	 2950.00	30612.93	 2444.52	   92.16	2	1	76739710

-25269.35	20225.34	 3005.00	32505.91	 2355.44	   88.40	2	2	76739740

-25083.92	16742.68	 2823.00	30290.09	 2437.97	   89.13	0	2	76739940

-25343.49	20082.68	 2927.00	32468.04	 2360.10	   86.20	0	1	76739960

-25185.69	16695.35	 2904.00	30356.00	 2441.00	   91.49	3	2	76740030

-25087.58	20228.67	 2874.00	32355.00	 2352.00	   84.94	3	1	76740060

-25206.13	16665.59	 2996.00	30365.55	 2442.14	   94.37	2	1	76740960

-25062.23	20184.84	 2966.00	32316.25	 2352.54	   87.77	2	2	76740990

-24817.38	16482.23	 3001.00	29942.82	 2440.17	   95.87	0	2	76741170

-24731.97	19998.87	 2879.00	31936.08	 2350.67	   86.20	0	1	76741190

-24951.52	16540.12	 3052.00	30091.00	 2441.00	   97.02	3	2	76741310

